City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lerwick,60.1545,-1.1494,4.68,74,9,2.37,GB,1739160484
1,kirakira,-10.4544,161.9205,29.54,68,63,3.8,SB,1739160485
2,adam,22.3756,57.5233,20.23,56,0,1.05,OM,1739160486
3,berea,41.3662,-81.8543,-3.01,68,100,5.14,US,1739160488
4,isafjordur,66.0755,-23.124,0.8,99,100,2.08,IS,1739160489
5,mboursou lere,9.7639,14.1539,23.91,18,59,1.87,TD,1739160490
6,tandil,-37.3217,-59.1332,16.85,72,100,5.29,AR,1739160492
7,arraial do cabo,-22.9661,-42.0278,23.69,92,94,5.98,BR,1739160493
8,awjilah,29.1081,21.2869,7.7,66,0,3.07,LY,1739160494
9,alofi,-19.0595,-169.9187,29.94,74,20,4.12,NU,1739160495
10,shihezi,44.3,86.0333,-6.86,70,98,1.62,CN,1739160497
11,okola,4.0167,11.3833,21.55,92,89,1.63,CM,1739160498
12,egilsstadir,65.2653,-14.3948,1.68,89,100,5.04,IS,1739160499
13,fort bragg,35.139,-79.006,12.12,87,100,5.14,US,1739160501
14,jamestown,42.097,-79.2353,-5.2,93,100,4.63,US,1739160502
15,magadan,59.5667,150.8,-20.61,75,0,2.83,RU,1739160503
16,paciran,-6.8767,112.3761,29.44,71,80,5.94,ID,1739160504
17,enewetak,11.3474,162.3373,27.12,76,72,7.62,MH,1739160506
18,tolanaro,-25.0319,46.9987,26.1,83,5,3.03,MG,1739160507
19,grand-lahou,5.1367,-5.0242,26.28,89,99,2.24,CI,1739160508
20,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,41,75,1.0,RU,1739160509
21,ancud,-41.8697,-73.8203,13.81,76,81,8.18,CL,1739160511
22,chui,-33.6971,-53.4616,20.99,87,19,3.21,UY,1739160512
23,donsol,12.9055,123.5949,23.73,94,100,4.57,PH,1739160513
24,colonia,50.9333,6.95,1.7,86,98,1.03,DE,1739160514
25,tchibanga,-2.85,11.0333,22.9,97,98,0.29,GA,1739160516
26,bakshwaho,24.25,79.3,24.21,22,1,1.43,IN,1739160517
27,vyazemskiy,47.5378,134.7525,-11.12,81,100,3.89,RU,1739160518
28,tanjung pandan,-2.75,107.65,28.56,73,100,5.46,ID,1739160322
29,bilibino,68.0546,166.4372,-22.81,97,100,1.5,RU,1739160521
30,malango,-2.9627,119.9001,29.88,49,100,2.17,ID,1739160522
31,sanming,26.2486,117.6186,15.51,37,60,0.67,CN,1739160523
32,geraldton,-28.7667,114.6,27.23,47,20,4.63,AU,1739160525
33,nova londrina,-22.7658,-52.985,24.07,69,8,2.58,BR,1739160526
34,cuyo,10.8525,121.0086,27.41,80,100,5.46,PH,1739160527
35,adh dhibiyah,24.5014,45.9686,9.94,40,1,2.33,SA,1739160528
36,port augusta,-32.5,137.7667,35.46,20,0,4.62,AU,1739160530
37,polyarnyy,69.1989,33.4478,-1.12,76,53,15.12,RU,1739160531
38,marang,5.2056,103.2059,27.33,64,85,2.2,MY,1739160532
39,luwuk,-0.9516,122.7875,29.94,63,100,1.43,ID,1739160533
40,batang,-6.4846,110.7083,27.7,81,86,6.27,ID,1739160356
41,sherbakul',54.6316,72.3963,-5.81,92,100,6.64,RU,1739160536
42,wesel,51.6667,6.6167,1.7,82,100,5.12,DE,1739160537
43,aasiaat,68.7098,-52.8699,-20.42,95,99,3.67,GL,1739160538
44,tual,-5.6667,132.75,28.61,83,100,8.1,ID,1739160447
45,laguna,38.421,-121.4238,7.75,70,0,1.54,US,1739160541
46,tura,25.5198,90.2201,23.05,26,0,1.78,IN,1739160542
47,puerto ayora,-0.7393,-90.3518,25.86,94,100,1.12,EC,1739160543
48,cabugao,17.7931,120.4578,28.83,47,0,1.94,PH,1739160544
49,arauca,7.0847,-70.7591,27.98,65,62,1.34,CO,1739160357
50,bonthe,7.5264,-12.505,24.25,92,6,2.08,SL,1739160547
51,tecate,32.5667,-116.6333,10.75,50,100,1.54,MX,1739160505
52,alo,6.5486,4.2686,25.95,91,90,1.5,NG,1739160550
53,bandarbeyla,9.4942,50.8122,23.87,78,91,4.1,SO,1739160551
54,shenjiamen,29.9576,122.298,6.27,52,1,2.37,CN,1739160552
55,puerto colombia,10.9878,-74.9547,26.05,83,100,12.3,CO,1739160553
56,cukai,4.25,103.4167,27.91,61,82,3.97,MY,1739160554
57,nemuro,43.3236,145.575,-1.52,68,100,6.08,JP,1739160556
58,puerto aysen,-45.4,-72.7,9.22,99,99,2.98,CL,1739160557
59,las tablas,7.7667,-80.2833,23.99,99,95,7.35,PA,1739160558
60,sibay,52.7181,58.6658,-10.84,93,0,1.38,RU,1739160559
61,wagar,16.1525,36.2032,18.04,74,46,2.39,SD,1739160561
62,greymouth,-42.4667,171.2,19.63,72,100,3.52,NZ,1739160562
63,aztec,36.8222,-107.9929,4.56,74,100,1.04,US,1739160563
64,sambava,-14.2667,50.1667,25.43,89,74,1.75,MG,1739160465
65,ilulissat,69.2167,-51.1,-14.99,78,100,3.09,GL,1739160566
66,fort mcmurray,56.7268,-111.381,-34.28,99,44,0.94,CA,1739160567
67,oeiras do para,-2.0031,-49.8544,22.88,98,100,0.33,BR,1739160568
68,katsuura,35.1333,140.3,7.57,49,76,4.36,JP,1739160557
69,jijiga,9.35,42.8,17.71,62,20,1.31,ET,1739160571
70,buhe,30.2876,112.2298,10.35,41,9,3.51,CN,1739160572
71,chenghua,23.4613,116.7701,15.53,32,1,2.57,CN,1739160478
72,edinburgh of the seven seas,-37.0676,-12.3116,16.41,81,8,6.2,SH,1739160574
73,san giovanni valdarno,43.5667,11.5333,4.17,98,26,0.45,IT,1739160576
74,troitsko-pechorsk,62.7084,56.1964,-8.49,90,24,3.53,RU,1739160577
75,myrina,39.8797,25.0742,4.58,60,75,6.17,GR,1739160578
76,kavadarci,41.4331,22.0119,-0.06,87,18,0.27,MK,1739160579
77,mallawi,27.7314,30.8417,10.54,70,53,3.71,EG,1739160581
78,inhambane,-23.865,35.3833,26.46,86,63,1.95,MZ,1739160582
79,ta`u,-14.2336,-169.5144,28.95,74,24,6.18,AS,1739160583
80,yellowknife,62.456,-114.3525,-31.18,100,88,2.5,CA,1739160584
81,shalqar,47.8333,59.6,-12.78,84,9,4.05,KZ,1739160586
82,midland,31.9974,-102.0779,5.14,57,75,4.12,US,1739160468
83,mount pearl,47.5166,-52.7813,-2.7,95,100,13.38,CA,1739160317
84,roses,42.262,3.1769,7.84,90,96,1.7,ES,1739160589
85,lepsy,46.235,78.9456,-12.9,87,5,5.38,KZ,1739160591
86,ghat,24.9647,10.1728,10.13,44,0,1.17,LY,1739160592
87,hawaiian paradise park,19.5933,-154.9731,23.26,79,75,3.6,US,1739160593
88,tortoli,39.9256,9.6572,11.19,84,14,0.89,IT,1739160594
89,kapa'a,22.0752,-159.319,24.71,72,0,1.54,US,1739160596
